GAME_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,OPPONENT_ABBREVIATION,PREV_GAME,REST_DAYS_NUM,REST_DAYS,OPP_REST_DAYS,OPP_REST_DAYS_NUM,REST_MATCHUP,REST_DAYS_NUM_CAT,OPP_REST_DAYS_NUM_CAT,REST_ADVANTAGE,REST_COMPARISON_GROUP,BACK_TO_BACK,B2B_VS_RESTED_OPP
0022401049,ATL,Atlanta Hawks,2025-03-25,ATL @ HOU,0,114,0.417,0.306,0.867,-7,18,32,14,0,HOU,2025-03-23,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022401062,ATL,Atlanta Hawks,2025-03-27,ATL @ MIA,0,112,0.518,0.439,0.727,-10,6,27,16,0,MIA,2025-03-25,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022401083,ATL,Atlanta Hawks,2025-03-30,ATL @ MIL,1,145,0.532,0.354,0.8,21,15,36,9,0,MIL,2025-03-27,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022401097,ATL,Atlanta Hawks,2025-04-01,ATL vs. POR,0,113,0.446,0.219,0.857,-14,12,26,20,1,POR,2025-03-30,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022401109,ATL,Atlanta Hawks,2025-04-02,ATL @ DAL,0,118,0.433,0.385,0.864,-2,12,29,11,0,DAL,2025-04-01,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022401128,ATL,Atlanta Hawks,2025-04-05,ATL vs. NYK,0,105,0.466,0.311,0.75,-16,9,24,15,1,NYK,2025-04-02,2.0,2+,2+,2.0,2+ vs 2+,2,2,0,Descanso igual,0,0
0022401136,ATL,Atlanta Hawks,2025-04-06,ATL vs. UTA,1,147,0.568,0.537,0.85,13,11,43,12,1,UTA,2025-04-05,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022401149,ATL,Atlanta Hawks,2025-04-08,ATL @ ORL,0,112,0.455,0.341,0.818,-7,14,25,18,0,ORL,2025-04-06,1.0,1,2+,4.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022401169,ATL,Atlanta Hawks,2025-04-10,ATL @ BKN,1,133,0.571,0.417,0.667,24,7,36,15,0,BKN,2025-04-08,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022401173,ATL,Atlanta Hawks,2025-04-11,ATL @ PHI,1,124,0.479,0.381,0.75,14,18,28,15,0,PHI,2025-04-10,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
